reviewer,title,paper_id,inclusion_IAM,extent,location,biome,concerns,notes1,notes2,projected,observed,new_data,huc6,discipline,topic
CMC,"Glacier change in western North America: influences on hydrology, geomorphic hazards and water quality",18,impacts,western us,"Western United States, British Columbia, Really it includes glaciers/ glaciated areas across the USA including Alaska",alpine/tundra,Extent is really large,"In southern BC and the US PNW, there is a tendency
for enhanced winter accumulation when the PNA is in a
negative phase or when ENSO or PDO are in the cold
phases, while reduced accumulation is associated with the
enhanced phase of PNA and the ENSO and PDO warm","The dominance
of negative mass balance conditions and volume loss over
the last few decades indicates that glaciers throughout
western North America are out of equilibrium with the
current climate and, barring a shift to cooler and/or wetter
conditions, will likely continue to retreat over at least
the next decade or so. --Hock et al. (2005) outlined the processes by which
mountain glacier discharge responds to climate warming
and a shift from near-neutral to negative mass balance.
They distinguished between a short-term response to
changes in climate and the extents of snow and firn, and a
long-term response, which includes the change in glacier
area within the catchment.",no,yes,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"temperature, precipitation, glaciers, streamflow/stream forecasting, water quality, water quantity, aquatic habitat, natural disasters"
AM,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,impacts,pacific northwest,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity"
MF,GRACE storage-runoff hystereses reveal the dynamics of regional watersheds,19,impacts,pacific northwest,Columbia River Basin,n/a (not biome specific or all biomes - see codebook),NA,NA,NA,no,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",hydrology,"precipitation, snow, streamflow/stream forecasting, groundwater, water quantity"
AM,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,impacts,40000 km2 - PNW,Idaho,grassland: temperate,Not clear that this is really about mountainous areas.,NA,NA,yes,no,no,"0101, 0102, 0401, 0402, 0501, 0502, 0601, 0602, 0603",economics,"temperature, precipitation, streamflow/stream forecasting, agriculture, policy, management, water quantity"
CMC,"Climate change, water rights, and water supply: The case of irrigated agriculture in Idaho",20,impacts,40000 km2 - PNW,Idaho,grassland: temperate,NA,NA,"The increases in precipitation, therefore, may not increase the total water available to irrigated agriculture during the warm season. In addition, precipitation levels in the high-elevation mountain areas have become more variable, upon which much of the streamﬂow used by low elevation agricultural areas depend on during the warm season [Luce et al., 2013]. p9675 Since snowmelt from mountains is the main source of many regional water supplies [Cayan et al., 2001; Stewart et al., 2005; Bales et al., 2006;
",yes,no,no,"0101, 0102, 0401, 0402, 0501, 0502, 0601, 0602, 0603",economics,"temperature, precipitation, streamflow/stream forecasting, agriculture, policy, management, water quantity"
AM,Radiative forcing of natural forest disturbances.,22,impacts,1 - 100 km2,"43.93,-122.0401514",forest: temperate,NA,NA,NA,no,no,no,0703,"forestry, biology","pests and disease, wildfire, timber production/silviculture, soils, carbon cycle, forest ecology, climate variability"
PE,Radiative forcing of natural forest disturbances.,22,impacts,1 - 100 km2,Oregon,forest: temperate,"No specification of location, can't provide coordinates, spatial extent, or watershed info",NA,NA,no,no,no,0703,"forestry, biology","pests and disease, wildfire, timber production/silviculture, soils, carbon cycle, forest ecology, climate variability"
AM,Disruption of the 'disease triangle' by chemical and physical environmental change,23,impacts,western us,Western United States,forest: temperate,Not sure such a conceptual paper really counts as being in the CRB.,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",biology,"temperature, precipitation, streamflow/stream forecasting, pests and disease, community resilience, attitudes and beliefs, forest ecology"
DH,Disruption of the 'disease triangle' by chemical and physical environmental change,23,impacts,western us,Western United States,forest: temperate,kinda a weird hypothetical climate change disease perspective,NA,NA,yes,no,no,"0101, 0102, 0103, 0200, 0300, 0401, 0402, 0501, 0502, 0601, 0602, 0603, 0701, 0702, 0703, 0800, 0900, 1002, kooteney, okanagan, columbia",biology,"temperature, precipitation, streamflow/stream forecasting, pests and disease, community resilience, attitudes and beliefs, forest ecology"
AM,Rapid increases and time-lagged declines in amphibian occupancy after wildfire.,24,impacts,1500 - 25000 km2,"48.5838247,-114.0040341","forest: temperate, freshwater: wetlands",NA,NA,NA,no,no,yes,0102,biology,"temperature, precipitation, aquatic habitat, species range shifts, wildfire, terrestrial wildlife"
