alternative.id,container.title,created,DOI,funder,publisher,reference.count,score,source,subject,title,subtitle,type,URL,author,issue,volume
BF00142058,Hydrobiologia,2004-11-06,10.1007/bf00142058,NULL,Springer Nature,40,28.347237,Crossref,"Aquatic Science,Pollution,Environmental Science(all)","Periphyton productivity and radionuclide accumulation in the Columbia River, Washington, U.S.A.",NA,journal-article,http://dx.doi.org/10.1007/bf00142058,C. E. Cushing,1-2,29
,The American Journal of International Law,2006-04-21,10.2307/2197310,NULL,JSTOR,0,28.347237,Crossref,"Political Science and International Relations,Law",The Columbia River Treaty.,NA,journal-article,http://dx.doi.org/10.2307/2197310,Albert E. Utton; John Krutilla,3,62
,Health Physics,2004-07-09,10.1097/00004032-199610000-00013,NULL,Ovid Technologies (Wolters Kluwer Health),0,28.347237,Crossref,"Epidemiology,Health, Toxicology and Mutagenesis,Radiology Nuclear Medicine and imaging",Reconstruction of Radioactive Contamination in the Columbia River,,journal-article,http://dx.doi.org/10.1097/00004032-199610000-00013,W. H. Walters; M. C. Richmond; B. G. Gilmore,4,71
,Health Physics,2004-07-07,10.1097/00004032-196701000-00007,NULL,Ovid Technologies (Wolters Kluwer Health),0,28.347237,Crossref,"Epidemiology,Health, Toxicology and Mutagenesis,Radiology Nuclear Medicine and imaging",Accumulation of Zinc-65 from Prolonged Consumption of Columbia River Fish,,journal-article,http://dx.doi.org/10.1097/00004032-196701000-00007,R. F. Foster; J. F. Honstead,1,13
10.1577/1548-8446(1998)023<0014:MOSITC>2.0.CO;2,Fisheries,2004-06-07,10.1577/1548-8446(1998)023<0014:mositc>2.0.co;2,NULL,American Fisheries Society,0,28.347237,Crossref,"Aquatic Science,Nature and Landscape Conservation",Mechanics of Supplementation in the Columbia River,NA,journal-article,http://dx.doi.org/10.1577/1548-8446(1998)023<0014:mositc>2.0.co;2,Robert M. Bugert,1,23
,Environmental History,2007-11-27,10.2307/3985195,NULL,Oxford University Press (OUP),0,28.347237,Crossref,"Environmental Science (miscellaneous),History",A River Lost: The Life and Death of the Columbia,NA,journal-article,http://dx.doi.org/10.2307/3985195,Jean Johnson; Blaine Harden,3,3
,Environmental History,2007-11-27,10.2307/3985618,NULL,Oxford University Press (OUP),0,28.347237,Crossref,"Environmental Science (miscellaneous),History",Rufus Woods: The Columbia River and the Building of Modern Washington,NA,journal-article,http://dx.doi.org/10.2307/3985618,Kazuto Oshio; Robert E. Ficken; William D. Rowley,4,2
,Environmental History,2007-11-27,10.2307/3985896,NULL,Oxford University Press (OUP),0,28.347237,Crossref,"Environmental Science (miscellaneous),History","Empty Nets: Indians, Dams and the Columbia River",NA,journal-article,http://dx.doi.org/10.2307/3985896,Stephen Haycox; Roberta Ulrich,4,8
S1466046607070317,Environmental Practice,2007-11-23,10.1017/s1466046607070317,NULL,Cambridge University Press (CUP),0,28.347237,Crossref,"Geography, Planning and Development,Management, Monitoring, Policy and Law","The Si'lailo Way: Indians, Salmon and Law on the Columbia River",NA,journal-article,http://dx.doi.org/10.1017/s1466046607070317,Eve Rickert,03,9
,Journal of Range Management,2007-11-26,10.2307/4003825,NULL,JSTOR,0,28.347237,Crossref,"Ecology,Animal Science and Zoology",Native River. The Columbia Remembered,NA,journal-article,http://dx.doi.org/10.2307/4003825,Lee Walls; William D. Layman,3,56
,Northwestern Naturalist,2006-11-16,10.2307/3536507,NULL,JSTOR,0,28.347237,Crossref,"Earth and Planetary Sciences(all),Environmental Science(all)",Prehistoric Occurrence of Pinnipeds in the Lower Columbia River,NA,journal-article,http://dx.doi.org/10.2307/3536507,R. Lee Lyman; Judith L. Harpole; Christyann Darwent; Robert Church,1,83
,The Murrelet,2006-11-16,10.2307/3535702,NULL,JSTOR,0,28.347237,Crossref,,Ecological Notes on Long-Eared and Great Horned Owls along the Columbia River,NA,journal-article,http://dx.doi.org/10.2307/3535702,Richard L. Knight; Albert W. Erickson,1,58
,The Murrelet,2006-11-16,10.2307/3534725,NULL,JSTOR,0,28.347237,Crossref,,Marmots as a Food Source of Golden Eagles along the Columbia River,NA,journal-article,http://dx.doi.org/10.2307/3534725,Richard L. Knight; Albert W. Erickson,1,59
,The Murrelet,2006-11-16,10.2307/3535334,NULL,JSTOR,0,28.347237,Crossref,,"River Otter Predation on Glaucous-Winged Gulls on Mandarte Island, British Columbia",NA,journal-article,http://dx.doi.org/10.2307/3535334,Nicolaas A. M. Verbeek; Joan L. Morgan,3,59
,The Murrelet,2006-11-16,10.2307/3535480,NULL,JSTOR,0,28.347237,Crossref,,"Barn Owl Food Habits along the Mid-Columbia River, Washington",NA,journal-article,http://dx.doi.org/10.2307/3535480,Paul C. Fielder,1,63
,The Murrelet,2006-11-16,10.2307/3535472,NULL,JSTOR,0,28.347237,Crossref,,Nesting Raptors along the Columbia River in North-Central Washington,NA,journal-article,http://dx.doi.org/10.2307/3535472,Richard L. Knight; Dwight G. Smith; Albert Erickson,1,63
,The Murrelet,2006-11-16,10.2307/3533827,NULL,JSTOR,0,28.347237,Crossref,,"Food Habits of Bald Eagles along the Mid-Columbia River, Washington",NA,journal-article,http://dx.doi.org/10.2307/3533827,Paul C. Fielder,2,63
,Aquatic Microbial Ecology,2007-09-04,10.3354/ame014007,NULL,Inter-Research Science Center,0,28.347237,Crossref,"Aquatic Science,Ecology, Evolution, Behavior and Systematics","Dominance of particle-attached bacteria in the Columbia River estuary, USA",NA,journal-article,http://dx.doi.org/10.3354/ame014007,BC Crump; JA Baross; CA Simenstad,NA,14
,FEMS Microbiology Ecology,2006-01-05,10.1111/j.1574-6941.2000.tb00688.x,NULL,Oxford University Press (OUP),29,28.347237,Crossref,"Ecology,Applied Microbiology and Biotechnology,Microbiology","Archaeaplankton in the Columbia River, its estuary and the adjacent coastal ocean, USA",NA,journal-article,http://dx.doi.org/10.1111/j.1574-6941.2000.tb00688.x,Byron C. Crump; John A. Baross,3,31
,Hydrological Processes,2002-08-25,10.1002/(sici)1099-1085(19990630)13:9<1361::aid-hyp808>3.0.co;2-h,NULL,Wiley-Blackwell,55,28.347237,Crossref,Water Science and Technology,"Magnitude-frequency characteristics of effective discharge for suspended sediment transport, Fraser River, British Columbia, Canada",NA,journal-article,http://dx.doi.org/10.1002/(sici)1099-1085(19990630)13:9<1361::aid-hyp808>3.0.co;2-h,Henry M. Sichingabula,9,13
10.2118/83-01-11,Journal of Canadian Petroleum Technology,2010-03-15,10.2118/83-01-11,NULL,Society of Petroleum Engineers (SPE),0,28.347237,Crossref,"Fuel Technology,Energy Engineering and Power Technology,Chemical Engineering(all)",Developments In The Peace River Coalfield Northeast British Columbia,NA,journal-article,http://dx.doi.org/10.2118/83-01-11,A. Matheson,01,22
10.4296/cwrj1702171,Canadian Water Resources Journal,2010-01-05,10.4296/cwrj1702171,NULL,Informa UK Limited,4,28.347237,Crossref,Water Science and Technology,THE COLUMBIA RIVER TREATY,NA,journal-article,http://dx.doi.org/10.4296/cwrj1702171,Neil A. Swainson,2,17
,Labour / Le Travail,2010-11-08,10.2307/25143587,NULL,JSTOR,0,28.347237,Crossref,"Industrial relations,Organizational Behavior and Human Resource Management,History",Where the Fraser River Flows: The Industrial Workers of the World in British Columbia,NA,journal-article,http://dx.doi.org/10.2307/25143587,David Akers; Mark Leier,NA,29
,Public Health Reports (1896-1970),2010-11-09,10.2307/4589349,NULL,JSTOR,0,28.347237,Crossref,,Effects of Low-Level Radioactivity in the Columbia River,NA,journal-article,http://dx.doi.org/10.2307/4589349,Croswell Henderson; Gordon G. Robeck; Ralph C. Palange,1,71
,Technology and Culture,2012-07-09,10.1353/tech.1999.0096,NULL,Johns Hopkins University Press,0,28.347237,Crossref,"Engineering (miscellaneous),History",The Organic Machine: The Remaking of the Columbia River,NA,journal-article,http://dx.doi.org/10.1353/tech.1999.0096,Philip V Scarpino,2,40
10.3138/CHR-018-01-02,Canadian Historical Review,2009-02-17,10.3138/chr-018-01-02,NULL,University of Toronto Press Inc. (UTPress),0,28.347237,Crossref,"Religious studies,History",David Thompson and the Columbia River,NA,journal-article,http://dx.doi.org/10.3138/chr-018-01-02,J. B. Tyrrell,1,18
,Economic Geology,2009-04-03,10.2113/gsecongeo.33.4.428,NULL,GeoScienceWorld,0,28.347237,Crossref,,"The relationships of mineral deposits in the Skeena River District, British Columbia",NA,journal-article,http://dx.doi.org/10.2113/gsecongeo.33.4.428,F. A. Kerr,4,33
10.2307/4448062,The American Biology Teacher,2012-09-06,10.2307/4448062,NULL,University of California Press,0,28.347237,Crossref,"Agricultural and Biological Sciences (miscellaneous),Education,Agricultural and Biological Sciences(all)",The Columbia River Gorge: A Natural History,NA,journal-article,http://dx.doi.org/10.2307/4448062,NaN,5,47
10.2307/4077708,The Auk,2012-09-14,10.2307/4077708,NULL,JSTOR,0,28.347237,Crossref,"Animal Science and Zoology,Ecology, Evolution, Behavior and Systematics","Type Localities of Townsend's ""Columbia River"" Birds",NA,journal-article,http://dx.doi.org/10.2307/4077708,Frank L. Burns,3,51
,Geosphere,2008-05-29,10.1130/ges00175.1,NULL,Geological Society of America,106,28.347237,Crossref,"Stratigraphy,Geology",A plume-triggered delamination origin for the Columbia River Basalt Group,NA,journal-article,http://dx.doi.org/10.1130/ges00175.1,Victor E. Camp; Barry B. Hanan,3,4
scientificamerican1030-276,Scientific American,2011-04-29,10.1038/scientificamerican1030-276,NULL,Springer Nature,0,28.347237,Crossref,General,The Development of the Columbia River,NA,journal-article,http://dx.doi.org/10.1038/scientificamerican1030-276,Charles F. A. Mann,4,143
scientificamerican1131-300,Scientific American,2011-04-29,10.1038/scientificamerican1131-300,NULL,Springer Nature,0,28.347237,Crossref,General,Power Development on the Columbia River,NA,journal-article,http://dx.doi.org/10.1038/scientificamerican1131-300,T. B. Parker,5,145
,Science,2006-10-05,10.1126/science.745-b,NULL,American Association for the Advancement of Science (AAAS),0,28.347237,Crossref,General,Columbia River Gorge,NA,journal-article,http://dx.doi.org/10.1126/science.745-b,C. TOPIK; D. H. WAGNER; S. A. COOK; J. D. UDOVIC; P. W. FRANK,NA,NA
365,Landslides,2012-11-09,10.1007/s10346-012-0365-1,NULL,Springer Nature,42,28.347237,Crossref,Geotechnical Engineering and Engineering Geology,"Debris-flow simulations on Cheekye River, British Columbia",NA,journal-article,http://dx.doi.org/10.1007/s10346-012-0365-1,Matthias Jakob; Scott McDougall; Hamish Weatherly; Neil Ripley,6,10
10.1080/00221343608987927,Journal of Geography,2008-07-02,10.1080/00221343608987927,NULL,Informa UK Limited,0,28.347237,Crossref,"Earth-Surface Processes,Geography, Planning and Development",Columbia River Dams at Bonneville and Grand Coulee,NA,journal-article,http://dx.doi.org/10.1080/00221343608987927,O. W. Freeman,6,35
S0169555X09003286,Geomorphology,2009-09-05,10.1016/j.geomorph.2009.08.013,NULL,Elsevier BV,42,28.347237,Crossref,Earth-Surface Processes,"Frequency and magnitude of debris flows on Cheekye River, British Columbia",NA,journal-article,http://dx.doi.org/10.1016/j.geomorph.2009.08.013,M. Jakob; P. Friele,3,114
9411,Hydrobiologia,2008-06-15,10.1007/s10750-008-9411-3,NULL,Springer Nature,60,28.347237,Crossref,"Aquatic Science,Pollution,Environmental Science(all)","Mitigating the effects of high-head dams on the Columbia River, USA: experience from the trenches",NA,journal-article,http://dx.doi.org/10.1007/s10750-008-9411-3,John G. Williams,1,609
10.1080/03007760701219079,Popular Music and Society,2008-06-21,10.1080/03007760701219079,NULL,Informa UK Limited,38,28.347237,Crossref,"Cultural Studies,Music","Woody Guthrie and the Columbia River: Propaganda, Art, and Irony",NA,journal-article,http://dx.doi.org/10.1080/03007760701219079,Mark Pedelty,3,31
,American Journal of Science,2010-09-01,10.2475/ajs.239.3.209,NULL,American Journal of Science (AJS),0,28.347237,Crossref,Earth and Planetary Sciences(all),Course of Columbia River in southern central Washington,NA,journal-article,http://dx.doi.org/10.2475/ajs.239.3.209,C. R. Warren,3,239
,American Journal of Science,2010-09-01,10.2475/ajs.259.8.583,NULL,American Journal of Science (AJS),0,28.347237,Crossref,Earth and Planetary Sciences(all),Stratigraphic and lithologic variations in the Columbia River basalt,NA,journal-article,http://dx.doi.org/10.2475/ajs.259.8.583,A. C. Waters,8,259
,American Journal of Science,2010-09-01,10.2475/ajs.241.6.366,NULL,American Journal of Science (AJS),0,28.347237,Crossref,Earth and Planetary Sciences(all),"The origin of the Peace River Canyon, British Columbia",NA,journal-article,http://dx.doi.org/10.2475/ajs.241.6.366,H. H. Beach; J. Spivak,6,241
,American Journal of Science,2010-09-01,10.2475/ajs.247.11.802,NULL,American Journal of Science (AJS),0,28.347237,Crossref,Earth and Planetary Sciences(all),"The ultrabasic rocks of Middle River Range, British Columbia",NA,journal-article,http://dx.doi.org/10.2475/ajs.247.11.802,H. W. Little,11,247
,American Journal of Science,2010-09-01,10.2475/ajs.259.3.173,NULL,American Journal of Science (AJS),0,28.347237,Crossref,Earth and Planetary Sciences(all),"Differentiation trends in the Ice River complex, British Columbia",NA,journal-article,http://dx.doi.org/10.2475/ajs.259.3.173,F. A. Campbell,3,259
nature10749,Nature,2012-02-14,10.1038/nature10749,NULL,Springer Nature,33,28.347237,Crossref,General,Origin of Columbia River flood basalt controlled by propagating rupture of the Farallon slab,NA,journal-article,http://dx.doi.org/10.1038/nature10749,Lijun Liu; Dave R. Stegman,7385,482
,Organization & Environment,2010-09-24,10.1177/1086026610381583,NULL,SAGE Publications,0,28.347237,Crossref,"Organizational Behavior and Human Resource Management,Environmental Science(all)","Book Review: Frances F. Dunwell The Hudson: America's River New York, NY: Columbia University Press, 2008",NA,journal-article,http://dx.doi.org/10.1177/1086026610381583,M. Luccarelli,3,23
,Journal of Geophysical Research,2010-05-28,10.1029/2009jc006066,NULL,Wiley-Blackwell,49,28.347237,Crossref,"Earth and Planetary Sciences (miscellaneous),Space and Planetary Science,Atmospheric Science,Geophysics",Structure and dynamics of the Columbia River tidal plume front,NA,journal-article,http://dx.doi.org/10.1029/2009jc006066,Levi F. Kilcher; Jonathan D. Nash,C5,115
10.1080/07055900.1981.9649112,Atmosphere-Ocean,2011-07-28,10.1080/07055900.1981.9649112,NULL,Informa UK Limited,13,28.347237,Crossref,"Atmospheric Science,Oceanography",Potential evaporation in the peace river region of British Columbia,NA,journal-article,http://dx.doi.org/10.1080/07055900.1981.9649112,R.L. Davis; J.A. Davies,3,19
,Botanica Marina,2009-10-23,10.1515/botm.1986.29.5.391,NULL,Walter de Gruyter GmbH,15,28.347237,Crossref,"Plant Science,Aquatic Science,Ecology, Evolution, Behavior and Systematics",Effects of Sedimentary Processes and Salinity on the Diatom Flora of the Columbia River Estuary,NA,journal-article,http://dx.doi.org/10.1515/botm.1986.29.5.391,M. C. Amspoker; C. D. McIntire,5,29
