first,second,kappa
1.0,2.0,0.612
1.0,3.0,0.529
1.0,4.0,0.643
1.0,5.0,0.668
2.0,4.0,0.737
2.0,5.0,0.738
3.0,4.0,0.51
3.0,5.0,0.586
4.0,5.0,0.704
